Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;Complain
1957;1;4;58138.0;0;0;58;635.0;88.0;546.0;172.0;88.0;88.0;3.0;8.0;10.0;4;7.0;0.0
1954;1;4;46344.0;1;1;38;11.0;1.0;6.0;2.0;1.0;6.0;2.0;1.0;1.0;2;5.0;0.0
1965;1;5;71613.0;0;0;26;426.0;49.0;127.0;111.0;21.0;42.0;1.0;8.0;2.0;10;4.0;0.0
1984;1;5;26646.0;1;0;26;11.0;4.0;20.0;10.0;3.0;5.0;2.0;2.0;0.0;4;6.0;0.0
1981;4;3;58293.0;1;0;94;173.0;43.0;118.0;46.0;27.0;15.0;5.0;5.0;3.0;6;5.0;0.0
1967;2;5;62513.0;0;1;16;520.0;42.0;98.0;0.0;42.0;14.0;2.0;6.0;4.0;10;6.0;0.0
1971;1;2;55635.0;0;1;34;235.0;65.0;164.0;50.0;49.0;27.0;4.0;7.0;3.0;7;6.0;0.0
1985;4;3;33454.0;1;0;32;76.0;10.0;56.0;3.0;1.0;23.0;2.0;4.0;0.0;4;8.0;0.0
1974;4;5;30351.0;1;0;19;14.0;0.0;24.0;3.0;3.0;2.0;1.0;3.0;0.0;2;9.0;0.0
1950;4;5;5648.0;1;1;68;28.0;0.0;6.0;1.0;1.0;13.0;1.0;1.0;0.0;0;12.366082379114737;0.0
1983;1;3;51606.0;1;0;11;5.0;5.0;6.0;0.0;2.0;1.0;1.0;1.0;0.0;2;7.0;0.0
1976;0;3;7500.0;0;0;59;6.0;16.0;11.0;11.0;1.0;16.0;1.0;2.0;0.0;3;8.0;0.0
1959;1;2;63033.0;0;0;82;194.0;61.0;480.0;202.59642869944088;112.0;30.0;1.0;3.0;4.0;8;2.0;0.0
1952;2;2;59354.0;1;1;53;233.0;2.0;53.0;3.0;5.0;14.0;3.0;6.0;1.0;5;6.0;0.0
1987;1;3;17323.0;0;0;38;3.0;14.0;17.0;6.0;1.0;5.0;1.0;1.0;0.0;3;8.0;0.0
1946;4;4;82800.0;0;0;23;1006.0;22.0;115.0;59.0;68.0;45.0;1.0;7.0;6.0;12;3.0;0.0
1980;1;3;41850.0;1;1;51;53.0;5.0;19.0;2.0;13.0;4.0;3.0;3.0;0.0;3;8.0;0.0
1946;1;5;37760.0;0;0;20;84.0;5.0;38.0;150.0;12.0;28.0;2.0;4.0;1.0;6;7.0;0.0
1949;2;3;76995.0;0;1;91;1012.0;80.0;498.0;0.0;16.0;176.0;2.0;11.0;4.0;9;5.0;0.0
1985;3;4;33812.0;1;0;86;4.0;17.0;19.0;30.0;24.0;39.0;2.0;2.0;1.0;3;6.0;0.0
1982;1;3;37040.0;0;0;41;86.0;2.0;73.0;69.0;38.0;48.0;1.0;4.0;2.0;5;8.0;0.0
1949;4;3;58607.0;0;1;63;867.0;0.0;86.0;0.0;0.0;19.0;3.0;2.0;3.0;9;8.0;0.0
1954;4;3;65324.0;0;1;0;384.0;0.0;102.0;21.0;32.0;5.0;3.0;6.0;2.0;9;4.0;0.0
1951;1;5;40689.0;0;1;69;270.0;3.0;27.0;39.0;6.0;99.0;6.674673391341949;7.0;1.0;5;8.0;0.0
1969;1;4;18589.0;0;0;89;6.0;4.0;25.0;15.0;12.0;13.0;2.0;2.0;1.0;3;7.0;0.0
1976;1;3;53359.0;1;1;4;173.0;4.0;30.0;3.0;6.0;41.0;4.0;5.0;1.0;4;7.0;0.0
1986;1;4;51606.0;1;0;19;5.0;1.0;3.0;3.0;150.299786191687;200.27102189365988;0.0;12.198967025654262;0.0;0;1.0;0.0
1989;1;3;38360.0;1;0;26;36.0;2.0;42.0;20.0;21.0;10.0;2.0;2.0;1.0;4;3.0;0.0
1965;4;3;84618.0;0;0;96;684.0;100.0;801.0;21.0;66.0;0.0;1.0;6.0;9.0;10;2.0;0.0
1989;2;2;10979.0;0;0;34;8.0;4.0;10.0;2.0;2.0;4.0;2.0;3.0;0.0;3;5.0;0.0
1963;2;5;38620.0;0;0;56;112.0;17.0;44.0;34.0;22.0;89.0;1.0;2.0;5.0;3;3.0;0.0
1970;1;5;40548.0;0;1;31;110.0;0.0;5.0;2.0;0.0;3.0;2.0;2.0;1.0;4;5.0;0.0
1952;4;2;46610.0;0;2;8;96.0;12.0;96.0;33.0;22.0;43.0;6.0;4.0;1.0;6;6.0;0.0
1946;2;3;68657.0;0;0;4;482.0;34.0;471.0;119.0;68.0;22.0;1.0;3.0;5.0;9;7.0;0.0
1951;2;4;49389.0;1;1;55;40.0;0.0;19.0;2.0;1.0;3.0;1.0;2.0;0.0;3;7.0;0.0
1970;4;3;67353.0;0;1;37;702.0;17.0;151.0;0.0;8.0;35.0;5.0;5.0;6.0;12;2.0;0.0
1976;3;3;23718.0;1;0;76;6.0;3.0;14.0;15.0;7.0;36.0;3.0;3.0;1.0;2;7.0;0.0
1973;1;6;42429.0;0;1;99;55.0;0.0;6.0;2.0;0.0;4.0;2.0;1.0;1.0;3;5.0;0.0
1943;4;2;48948.0;0;0;53;437.0;8.0;206.0;160.0;49.0;42.0;2.0;7.0;10.0;5;6.0;0.0
1980;1;3;80011.0;0;1;3;421.0;76.0;536.0;82.0;150.299786191687;102.0;2.0;8.0;6.0;5;4.0;0.0
1985;2;3;20559.0;1;0;88;13.0;1.0;29.0;3.0;0.0;7.0;2.0;2.0;0.0;3;8.0;0.0
1957;1;5;21994.0;0;1;4;9.0;0.0;6.0;3.0;1.0;3.0;1.0;0.0;0.0;3;5.0;0.0
1959;4;4;51606.0;0;0;80;81.0;11.0;50.0;3.0;2.0;39.0;1.0;1.0;3.0;4;2.0;0.0
1975;2;3;7500.0;1;0;19;3.0;1.0;10.0;3.0;2.0;12.0;3.0;2.0;0.0;3;5.0;0.0
1976;1;4;79941.0;0;0;72;123.0;146.6455714594779;266.0;202.59642869944088;30.0;174.0;1.0;2.0;4.0;9;1.0;0.0
1996;3;3;7500.0;0;0;24;3.0;18.0;14.0;15.0;22.0;50.0;3.0;3.0;1.0;3;9.0;0.0
1968;1;5;41728.0;1;0;92;13.0;6.0;15.0;3.0;5.0;13.0;1.0;2.0;0.0;2;10.0;0.0
1951;1;4;51606.0;2;1;96;48.0;5.0;48.0;6.0;10.0;7.0;3.0;2.0;1.0;4;6.0;0.0
1957;1;6;65486.0;0;1;29;245.0;19.0;125.0;37.0;67.0;14.0;1.0;4.0;2.0;10;2.0;0.0
1964;2;3;79143.0;0;0;2;650.0;37.0;780.0;27.0;150.299786191687;32.0;1.0;6.0;9.0;13;3.0;0.0
1977;1;4;35790.0;1;0;54;12.0;6.0;20.0;30.0;1.0;3.0;2.0;2.0;0.0;3;7.0;0.0
1977;1;2;82582.0;0;0;54;510.0;120.0;550.0;156.0;40.0;200.27102189365988;1.0;4.0;9.0;7;1.0;0.0
1978;1;3;66373.0;1;1;57;328.0;9.0;124.0;12.0;24.0;109.0;6.674673391341949;4.0;2.0;10;3.0;0.0
1955;2;5;82384.0;0;0;55;984.0;51.0;432.0;180.0;120.0;190.0;1.0;3.0;10.0;13;1.0;0.0
1966;1;2;70287.0;0;0;30;295.0;35.0;482.0;121.0;120.0;40.0;1.0;5.0;5.0;10;3.0;0.0
1988;1;4;27938.0;1;0;31;13.0;0.0;8.0;2.0;1.0;5.0;1.0;1.0;0.0;4;3.0;0.0
1982;1;4;51606.0;1;0;57;11.0;3.0;22.0;2.0;2.0;6.0;2.0;2.0;0.0;3;6.0;0.0
1968;4;3;55954.0;0;1;63;447.0;0.0;28.0;0.0;0.0;43.0;3.0;8.0;2.0;6;7.0;0.0
1982;2;4;75777.0;0;0;12;712.0;26.0;538.0;69.0;13.0;80.0;1.0;3.0;6.0;11;1.0;0.0
1975;1;5;66653.0;1;1;18;452.0;18.0;102.0;16.0;18.0;6.0;4.0;4.0;2.0;12;3.0;0.0
1952;1;4;61823.0;0;1;26;523.0;7.0;134.0;37.0;14.0;169.0;4.0;8.0;2.0;10;7.0;0.0
1951;4;6;67680.0;0;1;8;546.0;0.0;48.0;0.0;6.0;6.0;1.0;7.0;3.0;8;5.0;0.0
1948;1;5;70666.0;0;0;29;398.0;40.0;367.0;119.0;122.0;30.0;1.0;7.0;4.0;4;4.0;0.0
1971;1;3;25721.0;1;0;75;1.0;3.0;6.0;3.0;6.0;15.0;1.0;1.0;1.0;2;7.0;0.0
1967;1;5;32474.0;1;1;0;10.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;2;7.0;0.0
1979;3;4;88194.0;0;1;19;688.0;14.0;309.0;201.0;24.0;38.0;1.0;11.0;10.0;10;5.0;0.0
1958;1;5;69096.0;0;1;4;247.0;49.0;159.0;7.0;82.0;109.0;1.0;5.0;2.0;10;4.0;0.0
1970;1;5;74854.0;1;2;90;856.0;59.0;487.0;58.0;29.0;73.0;6.674673391341949;2.0;5.0;5;5.0;0.0
1954;2;3;66991.0;0;0;1;496.0;36.0;460.0;189.0;60.0;12.0;3.0;4.0;8.0;6;3.0;0.0
1973;3;3;51606.0;1;0;25;25.0;3.0;43.0;17.0;4.0;17.0;3.0;3.0;0.0;3;8.0;0.0
1959;1;3;65031.0;0;1;29;258.0;107.0;291.0;84.0;37.0;86.0;4.0;10.0;3.0;13;7.0;0.0
1975;4;3;60631.0;1;1;88;565.0;6.0;65.0;0.0;6.0;19.0;5.0;9.0;2.0;8;7.0;0.0
1952;1;3;28332.0;0;0;58;14.0;10.0;13.0;4.0;15.0;9.0;1.0;2.0;1.0;4;2.0;0.0
1977;1;2;40246.0;1;0;68;2.0;1.0;6.0;2.0;1.0;1.0;1.0;1.0;0.0;2;6.0;0.0
1972;2;3;75251.0;0;0;34;721.0;111.0;820.2565973619579;97.0;18.0;18.0;1.0;7.0;6.0;5;5.0;0.0
1976;1;4;75825.0;0;0;40;1032.0;105.0;779.0;137.0;105.0;51.0;0.0;5.0;8.0;9;4.0;0.0
1976;3;5;26326.0;0;0;12;1.0;0.0;5.0;0.0;3.0;9.0;1.0;0.0;0.0;3;3.0;0.29499006712069265
1965;1;5;56046.0;0;0;9;577.0;0.0;64.0;0.0;0.0;51.0;2.0;10.0;1.0;8;8.0;0.0
1985;1;4;29760.0;1;0;87;64.0;4.0;68.0;7.0;5.0;17.0;4.0;3.0;1.0;4;8.0;0.0
1969;1;3;26304.0;1;0;5;4.0;1.0;5.0;2.0;0.0;4.0;1.0;1.0;0.0;2;7.0;0.0
1973;3;3;23559.0;1;0;87;25.0;5.0;19.0;7.0;0.0;23.0;3.0;3.0;0.0;3;7.0;0.0
1963;2;5;38620.0;0;0;56;112.0;17.0;44.0;34.0;22.0;89.0;1.0;2.0;5.0;3;3.0;0.0
1987;1;2;81361.0;0;0;18;163.0;23.0;424.0;27.0;65.0;76.0;1.0;3.0;10.0;13;1.0;0.0
1960;1;3;29440.0;1;1;95;17.0;8.0;14.0;10.0;4.0;3.0;2.0;1.0;0.0;4;7.0;0.0
1970;2;3;36138.0;1;1;48;130.0;0.0;16.0;0.0;0.0;5.0;5.0;3.0;1.0;4;7.0;0.0
1957;1;4;50388.0;0;1;3;292.0;6.0;37.0;0.0;3.0;34.0;4.0;6.0;1.0;6;7.0;0.0
1973;1;3;79593.0;0;0;70;350.0;60.0;568.0;110.0;133.0;145.0;1.0;5.0;6.0;7;2.0;0.0
1967;1;5;54178.0;0;1;79;135.0;9.0;39.0;4.0;0.0;7.0;1.0;2.0;2.0;5;2.0;0.0
1957;1;4;51606.0;1;1;45;7.0;0.0;8.0;2.0;0.0;1.0;1.0;1.0;0.0;2;7.0;0.0
1973;2;5;51606.0;0;0;87;445.0;37.0;359.0;98.0;28.0;18.0;1.0;2.0;4.0;8;1.0;0.0
1972;2;4;42394.0;1;0;69;15.0;2.0;10.0;0.0;1.0;4.0;1.0;1.0;0.0;3;7.0;0.0
1970;4;3;23626.0;1;0;84;27.0;2.0;14.0;0.0;0.0;0.0;3.0;3.0;1.0;3;5.0;0.0
1983;1;3;30096.0;1;0;30;5.0;3.0;11.0;12.0;5.0;9.0;1.0;2.0;0.0;3;6.0;0.0
1960;1;6;47916.0;0;1;72;505.0;0.0;26.0;0.0;0.0;75.0;5.0;7.0;4.0;6;6.0;0.0
